
Jan. 27, 2014  11.41  
Jan. 24, 2014  11.53  
Jan. 23, 2014  11.72  
Jan. 22, 2014  11.92  
Jan. 21, 2014  11.79  
Jan. 17, 2014  11.87  
Jan. 16, 2014  12.03  
Jan. 15, 2014  11.99  
Jan. 14, 2014  12.10  
Jan. 13, 2014  12.00  
Jan. 10, 2014  12.30  
Jan. 9, 2014  12.43  
Jan. 8, 2014  12.42  
Jan. 7, 2014  12.52  
Jan. 6, 2014  12.29  
Jan. 3, 2014  12.26  
Jan. 2, 2014  12.30  
Dec. 31, 2013  12.46  
Dec. 30, 2013  15.91  
Dec. 27, 2013  15.96  
Dec. 26, 2013  15.82  
Dec. 24, 2013  15.73  
Dec. 23, 2013  15.69  
Dec. 20, 2013  15.62  
Dec. 19, 2013  15.64  
Dec. 18, 2013  15.53  
Dec. 17, 2013  15.18  
Dec. 16, 2013  15.31  
Dec. 13, 2013  15.33  
Dec. 12, 2013  15.35  
Dec. 11, 2013  15.41  
Dec. 10, 2013  15.56  
Dec. 9, 2013  15.67  
Dec. 6, 2013  15.59  
Dec. 5, 2013  15.72  
Dec. 4, 2013  15.92  
Dec. 3, 2013  15.87  
Dec. 2, 2013  15.95  
Nov. 29, 2013  15.98  
Nov. 27, 2013  16.02  
Nov. 26, 2013  16.43  
Nov. 25, 2013  16.40  
Nov. 22, 2013  16.72  
Nov. 21, 2013  16.60  
Nov. 20, 2013  16.35  
Nov. 19, 2013  16.31  
Nov. 18, 2013  16.34  
Nov. 15, 2013  16.41  
Nov. 14, 2013  16.40  
Nov. 13, 2013  16.32  
Nov. 12, 2013  16.10  
Nov. 11, 2013  16.33  
Nov. 8, 2013  16.21  
Nov. 7, 2013  16.13  
Nov. 6, 2013  16.33  
Nov. 5, 2013  16.27  
Nov. 4, 2013  16.45  
Nov. 1, 2013  16.10  
Oct. 31, 2013  16.17  
Oct. 30, 2013  16.17  
Oct. 29, 2013  16.24  
Oct. 28, 2013  16.41  
Oct. 25, 2013  16.30  
Oct. 24, 2013  16.33  
Oct. 23, 2013  16.10  
Oct. 22, 2013  16.46  
Oct. 21, 2013  16.33  
Oct. 18, 2013  16.54  
Oct. 17, 2013  16.51  
Oct. 16, 2013  16.32  
Oct. 15, 2013  16.03  
Oct. 14, 2013  16.11  
Oct. 11, 2013  16.07  
Oct. 10, 2013  16.00  
Oct. 9, 2013  15.81  
Oct. 8, 2013  15.75  
Oct. 7, 2013  16.03  
Oct. 4, 2013  16.06  
Oct. 3, 2013  15.89  
Oct. 2, 2013  15.96  
Oct. 1, 2013  15.88  
Sept. 30, 2013  15.74  
Sept. 27, 2013  16.69  
Sept. 26, 2013  16.53  
