Date,Open,High,Low,Close,Adj Close,PE Ratio,EV to EBIT,Operating_Earning_Yield,PEG Ratio,PS Ratio,Market Cap,Operating Yields,Price to book value,EV to revenues,Dividend_yield
5/25/2017,66.059998,66.57,65.800003,66.32,64.144501,17.18,14.65,0.01,1.068,4.11,105.55B,0.06,21.12,5.197,0.04
5/26/2017,66.139999,66.410004,65.849998,66.059998,63.893024,17.11,14.61,0.01,1.071,4.094,105.14B,0.06,21.04,5.181,0.04
5/30/2017,65.889999,66.199997,65.809998,66.019997,63.85434,17.1,14.6,0.01,1.073,4.092,105.07B,0.06,21.02,5.179,0.04
5/31/2017,66.239998,66.410004,65.610001,66.019997,63.85434,17.1,14.6,0.01,1.081,4.092,105.07B,0.06,21.02,5.179,0.04
6/1/2017,66.260002,66.720001,66.120003,66.709999,64.521713,17.28,14.72,0.01,1.087,4.135,106.17B,0.06,21.24,5.221,0.04
6/2/2017,66.809998,67.309998,66.620003,67.25,65.043999,17.42,14.81,0.01,1.11,4.168,107.03B,0.06,21.41,5.253,0.04
6/5/2017,67.25,67.860001,66.879997,67.510002,65.295464,17.49,14.86,0.01,1.11,4.184,107.44B,0.06,21.5,5.269,0.04
6/6/2017,67.480003,68.099998,67.370003,67.870003,65.643661,17.58,14.92,0.01,1.107,4.207,108.02B,0.06,21.61,5.291,0.04
6/7/2017,68.010002,69.32,68.010002,68.75,66.494789,17.81,15.07,0.01,1.122,4.261,109.42B,0.06,21.89,5.344,0.04
6/8/2017,68.75,69.050003,68.330002,68.760002,66.504463,17.81,15.07,0.01,1.111,4.262,109.43B,0.06,21.9,5.345,0.04
6/9/2017,68.800003,69.830002,68.720001,69.669998,67.384613,18.05,15.23,0,1.107,4.318,110.88B,0.06,22.19,5.4,0.03
6/12/2017,69.790001,69.900002,69.25,69.529999,67.249199,18.01,15.2,0.08,1.109,4.31,110.66B,0.06,22.14,5.392,0.03
6/13/2017,69.620003,70.029999,69.419998,69.669998,67.384613,18.05,15.23,0.08,1.101,4.318,110.88B,0.06,22.19,5.4,0.03
6/14/2017,69.480003,70.790001,69.370003,70.519997,68.206726,18.27,15.37,0.08,1.104,4.371,112.24B,0.05,22.46,5.452,0.03
6/15/2017,70.339996,70.650002,69.879997,70.599998,68.284103,18.29,15.39,0.08,1.106,4.376,112.36B,0.05,22.48,5.457,0.03
6/16/2017,70.800003,71.120003,70.489998,71.050003,68.719345,18.41,15.46,0.08,1.106,4.404,113.08B,0.05,22.62,5.484,0.03
6/19/2017,71.110001,71.589996,70.940002,71.339996,68.999832,18.48,15.51,0.08,1.114,4.422,113.54B,0.05,22.72,5.502,0.03
6/20/2017,71.440002,71.809998,71.160004,71.220001,68.883774,18.45,15.49,0.08,1.112,4.414,113.35B,0.05,22.68,5.494,0.03
6/21/2017,71.110001,71.699997,71.050003,71.339996,68.999832,18.48,15.51,0.08,1.108,4.422,113.54B,0.05,22.72,5.502,0.03
6/22/2017,71.489998,73.669998,71.410004,73.18,70.77948,18.96,15.83,0.08,1.103,4.536,116.47B,0.05,23.3,5.613,0.03
6/23/2017,73.199997,73.489998,72.260002,72.639999,70.257187,18.82,15.73,0.08,1.038,4.502,115.61B,0.05,23.13,5.581,0.03
6/26/2017,72.790001,72.940002,72.410004,72.739998,70.353912,18.84,15.75,0.08,1.036,4.508,115.77B,0.05,23.16,5.587,0.03
6/27/2017,72.699997,73.059998,72.25,72.389999,70.015388,18.75,15.69,0.08,1.037,4.487,115.21B,0.05,23.05,5.565,0.03
6/28/2017,72.720001,73.540001,72.580002,72.919998,70.528,18.89,15.78,0.08,1.035,4.52,116.06B,0.05,23.22,5.598,0.03
6/29/2017,73.150002,73.169998,71.910004,72.480003,70.102432,18.78,15.71,0.08,1.037,4.492,115.35B,0.05,23.08,5.571,0.03
6/30/2017,72.57,72.82,72.209999,72.510002,70.131454,17.82,15.17,0.08,1.044,4.39,115.56B,0.06,19.23,5.451,0.03
7/3/2017,72.760002,72.989998,72.370003,72.419998,70.044403,17.79,15.16,0,1.035,4.384,115.42B,0.06,19.21,5.446,0.03
7/5/2017,72.480003,72.739998,71.989998,72.480003,70.102432,17.81,15.17,0,1.022,4.388,115.51B,0.06,19.22,5.449,0.03
7/6/2017,72.239998,72.449997,71.410004,71.730003,69.377037,17.62,15.04,0,1.025,4.342,114.32B,0.06,19.02,5.404,0.03
7/7/2017,72.110001,72.110001,71.629997,72.029999,69.667191,17.7,15.09,0,1.022,4.361,114.80B,0.06,19.1,5.422,0.03
7/10/2017,71.800003,72.220001,71.580002,71.830002,69.473763,17.65,15.06,0.08,1.024,4.348,114.48B,0.06,19.05,5.41,0.03
7/11/2017,71.889999,72.169998,71.330002,71.839996,69.483429,17.65,15.06,0.08,1.014,4.349,114.49B,0.06,19.05,5.411,0.03
7/12/2017,71.510002,72.129997,71.300003,71.879997,70.147034,17.66,15.07,0.08,1.011,4.352,114.56B,0.06,19.06,5.413,0.03
7/13/2017,71.940002,72.900002,71.669998,72.629997,70.878952,17.85,15.19,0.08,1.016,4.397,115.75B,0.06,19.26,5.458,0.03
7/14/2017,72.620003,73.230003,72.510002,73.110001,71.347382,17.96,15.27,0.08,1.016,4.426,116.52B,0.06,19.39,5.487,0.03
